16:37:58.866 [FXGL Launcher Thread     ] DEBUG FXGLLoggerFactory    - Service [LoggerFactory] initialized
16:37:58.871 [FXGL Launcher Thread     ] DEBUG FXGL                 - FXGL configuration complete
16:37:58.871 [FXGL Launcher Thread     ] DEBUG FXGL                 - Loading FXGL system data
16:37:58.873 [FXGL Launcher Thread     ] DEBUG IOTask               - Executing task: readDataTask(system/fxgl.bundle)
16:37:58.876 [FXGL Launcher Thread     ] DEBUG FS                   - Reading from: system\fxgl.bundle
16:37:58.881 [FXGL Launcher Thread     ] DEBUG IOTask               - Task succeeded: readDataTask(system/fxgl.bundle)
16:37:58.881 [FXGL Launcher Thread     ] DEBUG Bundle               - Logging bundle: FXGL
16:37:58.883 [FXGL Launcher Thread     ] DEBUG Bundle               - FXGL.offline.timer.version.check=2017-01-12T08:38:28.585
16:37:58.888 [FXGL Launcher Thread     ] DEBUG GameApplication      - Configuring GameApplication
16:37:58.892 [FXGL Launcher Thread     ] DEBUG FXGLExceptionHandler - Service [ExceptionHandler] initialized
16:37:58.892 [FXGL Launcher Thread     ] DEBUG FXGLEventBus         - Service [EventBus] initialized
16:37:58.895 [FXGL Launcher Thread     ] DEBUG FXGLExecutor         - Service [Executor] initialized
16:37:58.895 [FXGL Launcher Thread     ] DEBUG PreInitTask          - Injecting gameWorld & physicsWorld
16:37:58.901 [FXGL Launcher Thread     ] DEBUG GameWorld            - Game world initialized
16:37:58.935 [FXGL Launcher Thread     ] DEBUG FXGLPooler           - Service [Pooler] initialized with default size = 128
16:37:58.935 [FXGL Launcher Thread     ] DEBUG PhysicsWorld         - Physics world initialized: appHeight=700.0, physics.ppm=50.0
16:37:58.936 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Service [Input] initialized
16:37:58.954 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Registered new binding: Screenshot - P
16:37:58.954 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Registered new binding: Dev Options - CTRL+0
16:37:58.955 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Registered new binding: Move With Mouse - PRIMARY
16:37:58.955 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Registered new binding: Move up - W
16:37:58.955 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Registered new binding: Open Fuel Shop - 1
16:37:58.955 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Registered new binding: Open Sell - 2
16:37:58.978 [FXGL Launcher Thread     ] DEBUG GameScene            - Game scene initialized: 800.0x700.0
16:37:58.983 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Service [AssetLoader] initialized: cacheSize=35
16:37:58.985 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/system/notification.wav
16:37:59.007 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/menu/select.wav
16:37:59.008 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/menu/back.wav
16:37:59.010 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/menu/press.wav
16:37:59.018 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/fonts/Copperplate_Gothic_Light_Regular.ttf
16:37:59.141 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/css/fxgl.css
16:37:59.141 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/icons/fxgl_icon.png
